epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.513,0.63426,0.59689,1.29644,0.74887,0.49518,0.45977,0.21755,1.84765,1.01219,3.62809,4.98077e-05,4.98077e-05,0.000434423
2,357.076,0.50731,0.4705,1.17265,0.75935,0.51991,0.48072,0.22411,1.79831,0.99964,3.64416,4.8e-05,4.8e-05,4.8e-05
3,541.891,0.47698,0.44331,1.14221,0.76067,0.51839,0.47587,0.22472,1.78052,0.98545,3.67822,4.6e-05,4.6e-05,4.6e-05
4,732.803,0.44585,0.42041,1.11439,0.77648,0.52515,0.4839,0.22725,1.77894,0.99265,3.68777,4.40001e-05,4.40001e-05,4.40001e-05
5,924.967,0.43883,0.40737,1.11021,0.77903,0.51855,0.47992,0.22311,1.76949,0.98806,3.74109,4.20001e-05,4.20001e-05,4.20001e-05
6,1108.11,0.41966,0.39804,1.0888,0.80072,0.52839,0.49218,0.22591,1.74497,0.98599,3.73955,4.00001e-05,4.00001e-05,4.00001e-05
7,1293.2,0.41317,0.38879,1.08053,0.7912,0.52386,0.48289,0.22221,1.75307,0.9896,3.72474,3.80001e-05,3.80001e-05,3.80001e-05
8,1475.32,0.40609,0.3784,1.07674,0.7918,0.54758,0.50284,0.22471,1.7371,0.97845,3.75306,3.60001e-05,3.60001e-05,3.60001e-05
9,1659.09,0.39339,0.3698,1.06346,0.78919,0.54066,0.49702,0.22875,1.7305,0.97679,3.7511,3.40002e-05,3.40002e-05,3.40002e-05
10,1850.36,0.39297,0.37836,1.06455,0.80794,0.53681,0.5031,0.22932,1.73195,0.96857,3.74789,3.20002e-05,3.20002e-05,3.20002e-05
11,2036.63,0.37968,0.36799,1.05667,0.78847,0.5434,0.49779,0.22528,1.72189,0.9839,3.7336,3.00002e-05,3.00002e-05,3.00002e-05
12,2222.51,0.37462,0.36053,1.04653,0.80588,0.54361,0.50538,0.22999,1.72372,0.97878,3.77943,2.80002e-05,2.80002e-05,2.80002e-05
13,2405.64,0.37452,0.36217,1.04822,0.80273,0.54989,0.50877,0.22611,1.71905,0.97169,3.81186,2.60002e-05,2.60002e-05,2.60002e-05
14,2585.98,0.36417,0.34533,1.03884,0.80928,0.55023,0.51081,0.23342,1.71195,0.97483,3.76051,2.40003e-05,2.40003e-05,2.40003e-05
15,2766.78,0.35939,0.34616,1.03357,0.80935,0.54408,0.50646,0.22698,1.71958,0.9786,3.79452,2.20003e-05,2.20003e-05,2.20003e-05
16,2951.38,0.30362,0.2745,0.98486,0.80039,0.54656,0.5027,0.22566,1.7099,0.98417,3.82546,2.00003e-05,2.00003e-05,2.00003e-05
17,3137.47,0.30068,0.26854,0.9811,0.7998,0.54992,0.49989,0.22356,1.71273,0.98788,3.82936,1.80003e-05,1.80003e-05,1.80003e-05
18,3315.74,0.29362,0.26394,0.97648,0.81873,0.54969,0.51465,0.22716,1.70633,0.98013,3.81099,1.60003e-05,1.60003e-05,1.60003e-05
19,3497.83,0.29076,0.26318,0.97479,0.79789,0.5507,0.50447,0.22591,1.70983,0.99077,3.82651,1.40004e-05,1.40004e-05,1.40004e-05
20,3675.57,0.28636,0.25853,0.96917,0.81543,0.54062,0.5035,0.22481,1.70273,0.98734,3.84449,1.20004e-05,1.20004e-05,1.20004e-05
21,3858.47,0.28216,0.25924,0.96603,0.81225,0.54903,0.50842,0.22869,1.70132,0.97668,3.83899,1.00004e-05,1.00004e-05,1.00004e-05
